ms,heading,rotZ,wz,ax,ay,az,left,right,stationary,enc_heading,acc_abs
0,0.0,0.0,0.1,25,61,9790,1,0,1,0.27,9790.2
20,0.0,0.0,0.0,68,16,9780,1,0,0,0.27,9780.2
40,0.0,0.0,0.0,-97,9,9776,0,0,0,0.0,9776.5
60,0.0,0.0,0.1,108,49,9799,0,0,0,0.0,9799.7
80,0.0,0.0,-0.1,13,119,9847,0,0,0,0.0,9847.7
100,0.0,0.0,-0.1,27,90,9833,0,0,0,0.0,9833.4
120,0.0,0.0,0.0,6,-36,9838,0,0,0,0.0,9838.1
140,0.0,0.0,-0.2,53,81,9840,0,0,0,0.0,9840.5
160,0.0,0.0,0.0,-38,6,9826,0,0,0,0.0,9826.1
180,0.0,0.0,-0.2,-320,66,9835,0,0,0,0.0,9840.4
200,0.03,-0.03,-2.7,279,-553,9988,1,-1,0,0.54,10007.2
220,0.17,-0.17,-13.2,-908,478,9506,1,-2,0,0.82,9561.2
240,0.63,-0.64,-32.4,-960,1175,9756,2,-3,0,1.36,9873.3
260,1.38,-1.41,-43.4,-1554,-64,9083,5,-6,0,2.99,9215.2
280,2.34,-2.38,-53.4,-1090,308,9530,6,-9,0,4.08,9597.1
300,3.52,-3.58,-66.7,-1761,1645,10588,9,-12,0,5.72,10858.8
320,4.97,-5.05,-80.8,-1777,287,8025,12,-16,0,7.62,8224.4
340,6.7,-6.8,-93.7,-2244,1321,10315,16,-20,0,9.8,10638.6
360,8.66,-8.8,-104.6,-2434,-577,9981,21,-25,0,12.52,10289.7
380,10.84,-11.02,-116.2,319,-1202,8933,28,-31,0,16.06,9019.1
400,13.24,-13.46,-129.1,-178,538,11060,34,-37,0,19.33,11074.5
420,15.85,-16.27,-136.8,-716,550,9747,40,-44,0,22.86,9788.7
440,18.75,-19.06,-142.4,660,-752,9491,47,-49,0,26.13,9543.6
460,21.62,-21.96,-149.6,591,-1621,6091,53,-56,0,29.67,6330.7
480,24.62,-25.01,-155.6,-3609,2435,12515,59,-62,0,32.93,13250.6
500,27.73,-28.18,-161.3,-261,-342,10428,66,-68,0,36.47,10436.9
520,30.99,-31.49,-170.9,-1782,1678,12859,73,-76,0,40.56,13089.9
540,34.4,-34.95,-175.9,-652,665,13492,80,-83,0,44.37,13524.1
560,37.91,-38.52,-181.4,852,1484,13076,87,-90,0,48.18,13187.5
580,41.47,-42.14,-182.8,-891,2716,9828,95,-98,0,52.53,10235.2
600,45.08,-45.81,-185.8,873,-172,9639,103,-107,0,57.16,9680.0
620,48.81,-49.59,-191.6,468,-2548,7151,111,-115,0,61.51,7605.8
640,52.6,-53.45,-193.6,125,1070,7941,120,-124,0,66.41,8013.7
660,56.46,-57.37,-197.7,-194,1712,13370,129,-133,0,71.31,13480.6
680,60.39,-61.36,-201.0,27,1652,14127,137,-142,0,75.94,14223.3
700,64.4,-65.44,-206.9,-749,2850,7352,146,-151,0,80.84,7920.6
720,68.51,-69.61,-209.5,279,267,3461,155,-160,0,85.74,3482.5
740,72.66,-73.84,-214.5,56,-1253,5314,164,-170,0,90.91,5460.0
760,76.93,-78.17,-220.8,-649,-287,8128,174,-181,0,96.63,8158.9
780,81.28,-82.59,-224.8,859,-2180,4693,185,-191,0,102.34,5245.4
800,85.69,-87.07,-225.7,-2865,3645,7781,196,-202,0,108.33,9057.5
820,90.16,-91.61,-231.0,-1535,3221,10879,207,-213,0,114.32,11449.2
840,94.71,-96.23,-232.5,-448,160,8624,217,-224,0,120.03,8637.1
860,99.28,-101.16,-236.3,-1021,3274,10375,227,-236,0,126.02,10927.1
880,104.21,-105.89,-238.2,-2242,3604,9573,238,-247,0,132.01,10471.8
900,108.93,-110.68,-241.7,-1028,1815,5802,248,-258,0,137.73,6165.6
920,113.71,-115.55,-245.6,-152,-579,9260,259,-268,0,143.44,9279.3
940,118.58,-120.49,-250.1,-318,1285,9348,271,-280,0,149.98,9441.3
960,123.52,-125.51,-252.4,13,2601,7786,283,-291,0,156.24,8209.0
980,128.49,-130.56,-256.1,-277,-560,11170,295,-303,0,162.77,11187.5
1000,133.51,-135.66,-255.8,-1697,2562,8538,306,-312,0,168.21,9074.2
1020,138.56,-140.79,-259.3,-765,914,16207,317,-323,0,174.2,16250.8
1040,143.62,-145.94,-258.9,-3031,5324,12981,328,-335,0,180.46,14354.0
1060,148.74,-151.14,-262.5,-836,418,8264,339,-347,0,186.72,8316.7
1080,153.89,-156.37,-261.8,-3097,1525,8123,350,-360,0,193.25,8826.1
1100,159.02,-161.58,-261.6,-1249,742,4204,360,-372,0,199.24,4447.9
1120,164.19,-166.83,-263.4,37,2924,11536,371,-384,0,205.5,11900.9
1140,169.37,-172.1,-262.3,366,2706,11478,382,-396,0,211.76,11798.3
1160,174.54,-177.35,-265.7,-360,404,8696,394,-407,0,218.02,8712.8
1180,179.73,-182.62,-263.0,-2761,4567,10053,406,-417,0,224.01,11381.7
1200,184.87,-187.84,-259.5,-1493,4773,11275,417,-428,0,230.0,12334.4
1220,189.98,-193.04,-261.2,-2064,2030,9611,428,-438,0,235.71,10037.5
1240,195.12,-198.26,-261.8,-2509,-936,7306,439,-447,0,241.16,7781.3
1260,200.26,-203.49,-260.5,892,2299,14179,449,-458,0,246.87,14391.8
1280,205.37,-208.68,-261.7,-706,4323,11593,460,-468,0,252.59,12392.9
1300,210.52,-213.91,-265.0,2719,533,17458,472,-479,0,258.85,17676.5
1320,215.68,-219.47,-262.7,-964,2941,13031,483,-489,0,264.57,13393.5
1340,221.13,-224.7,-262.1,421,52,4624,495,-500,0,270.83,4643.4
1360,226.28,-229.92,-262.8,579,902,6184,505,-511,0,276.54,6276.2
1380,231.44,-235.17,-264.2,423,835,6179,515,-521,0,281.99,6249.5
1400,236.61,-240.42,-262.5,-1078,1003,6910,525,-533,0,287.97,7065.1
1420,241.78,-245.67,-263.4,-592,1602,10287,536,-544,0,293.96,10427.8
1440,246.9,-250.88,-259.3,-1836,390,8985,547,-555,0,299.95,9179.0
1460,251.98,-256.04,-256.7,-1412,2723,633,558,-566,0,305.94,3132.0
1480,257.07,-261.22,-258.0,-2095,6701,10282,568,-578,0,311.93,12450.4
1500,262.14,-266.36,-260.6,1809,-4731,11973,579,-589,0,317.91,13000.3
1520,267.18,-271.48,-254.2,1328,6095,9534,589,-600,0,323.63,11393.4
1540,272.2,-276.58,-251.4,2707,756,-316,599,-611,0,329.35,2828.3
1560,277.21,-281.67,-253.1,340,8644,23415,609,-621,0,334.79,24961.9
1580,282.2,-286.74,-257.3,3160,-4563,6339,621,-631,0,340.78,8425.5
1600,287.25,-291.88,-257.5,-355,380,6957,631,-641,0,346.22,6976.4
1620,292.3,-297.01,-255.8,-770,1731,3967,642,-651,0,351.94,4396.2
1640,297.32,-302.11,-256.7,134,1554,11335,654,-663,0,358.47,11441.8
1660,302.35,-307.22,-257.4,-3327,6146,12333,665,-671,0,363.64,14175.5
1680,307.38,-312.33,-255.9,117,624,6652,675,-682,0,369.36,6682.2
1700,312.41,-317.44,-257.2,463,3432,14841,686,-692,0,375.07,15239.7
1720,317.43,-322.54,-255.9,639,3221,9513,696,-703,0,380.79,10063.8
1740,322.42,-327.62,-254.9,1714,1338,9606,707,-715,0,387.05,9849.0
1760,327.4,-332.97,-252.3,-384,1913,11072,716,-726,0,392.49,11242.6
1780,332.65,-338.01,-252.7,-258,399,3805,726,-737,0,398.21,3834.6
1800,337.63,-343.07,-253.3,-334,-436,6640,737,-748,0,404.2,6662.7
1820,342.58,-348.1,-252.4,444,-2180,14366,748,-759,0,410.19,14537.2
1840,347.52,-353.11,-253.9,-327,4347,13664,759,-770,0,416.17,14342.5
1860,352.47,-358.15,-252.7,726,2174,11505,770,-779,0,421.62,11731.1
1880,357.37,-363.13,-249.2,-178,1269,7492,781,-789,0,427.33,7600.8
1900,362.24,-368.08,-247.0,776,775,7027,792,-798,0,432.78,7112.1
1920,367.12,-373.04,-247.2,-3071,5942,13069,802,-807,0,437.95,14681.2
1940,372.0,-378.0,-248.5,-1472,1388,7812,812,-817,0,443.39,8069.7
1960,376.9,-382.98,-249.9,738,1300,11612,823,-828,0,449.38,11707.8
1980,381.82,-387.97,-250.0,442,3837,6210,834,-838,0,455.1,7313.1
2000,386.73,-392.96,-248.1,-1898,3422,10974,845,-848,0,460.81,11650.8
2020,391.61,-397.92,-248.8,558,-2038,7203,856,-858,0,466.53,7506.5
2040,396.49,-402.88,-247.8,397,2260,9582,866,-869,0,472.24,9852.9
2060,401.37,-407.84,-249.2,-993,3204,12842,876,-879,0,477.69,13272.9
2080,406.26,-412.81,-247.7,930,588,4767,887,-891,0,483.95,4892.3
2100,411.16,-417.78,-248.8,42,3513,10067,897,-902,0,489.66,10662.4
2120,416.03,-422.73,-247.2,-597,993,8522,908,-913,0,495.65,8600.4
2140,420.86,-427.64,-245.9,-1287,615,13874,919,-924,0,501.64,13947.1
2160,425.69,-432.55,-244.8,2122,-532,9300,929,-935,0,507.36,9553.8
2180,430.5,-437.43,-242.4,-900,5238,12670,939,-947,0,513.35,13739.6
2200,435.24,-442.54,-242.0,-756,675,7094,950,-957,0,519.06,7166.0
2220,440.28,-447.38,-243.3,-431,2181,17107,960,-968,0,524.78,17250.9
2240,445.08,-452.25,-246.3,951,-1602,15526,971,-978,0,530.49,15637.4
2260,449.92,-457.17,-246.9,-1498,5207,11646,982,-988,0,536.21,12844.7
2280,454.8,-462.13,-249.0,-851,3077,11304,993,-999,0,542.2,11746.2
2300,459.7,-467.1,-249.9,1361,857,5458,1004,-1009,0,547.91,5690.0
2320,464.62,-472.11,-251.9,-1777,2543,5109,1015,-1020,0,553.9,5977.2
2340,469.61,-477.18,-255.0,-168,1987,9661,1027,-1029,0,559.62,9864.6
2360,474.64,-482.29,-256.3,193,78,11493,1037,-1040,0,565.33,11494.9
2380,479.63,-487.36,-254.5,-239,3477,12128,1048,-1051,0,571.32,12618.8
2400,484.66,-492.46,-257.0,-97,2890,18987,1059,-1062,0,577.31,19205.9
2420,489.7,-497.59,-255.2,-1218,2165,8801,1070,-1074,0,583.57,9144.9
2440,494.73,-502.7,-256.5,527,1144,11077,1080,-1086,0,589.56,11148.4
2460,499.79,-507.85,-258.4,1577,6167,14368,1090,-1098,0,595.55,15714.9
2480,504.9,-513.03,-261.2,-1391,2555,14523,1101,-1109,0,601.53,14811.5
2500,510.03,-518.25,-262.0,2669,2438,12037,1112,-1121,0,607.79,12568.1
2520,515.19,-523.49,-263.7,-564,1240,7454,1124,-1132,0,614.05,7577.5
2540,520.36,-528.74,-260.4,-929,3975,7268,1135,-1142,0,619.77,8335.9
2560,525.46,-533.93,-259.3,-557,1657,12238,1146,-1152,0,625.49,12362.2
2580,530.55,-539.1,-259.9,1577,-282,6231,1157,-1162,0,631.2,6433.6
2600,535.69,-544.32,-262.3,-604,2363,8987,1167,-1172,0,636.65,9312.1
2620,540.82,-549.53,-262.3,435,263,7220,1178,-1182,0,642.36,7237.9
2640,545.96,-554.76,-263.1,-950,3171,11968,1189,-1192,0,648.08,12417.4
2660,551.12,-560.3,-263.4,1383,52,12138,1200,-1203,0,654.07,12216.6
2680,556.55,-565.52,-261.9,861,2126,10084,1211,-1214,0,660.05,10341.6
2700,561.68,-570.73,-260.1,-1633,3207,7115,1222,-1225,0,666.04,7973.4
2720,566.83,-575.96,-261.2,-528,2723,9042,1233,-1235,0,671.76,9457.9
2740,571.97,-581.18,-262.3,-1007,4251,12546,1243,-1247,0,677.75,13284.8
2760,577.13,-586.43,-263.8,452,1278,16494,1253,-1258,0,683.46,16549.6
2780,582.29,-591.68,-263.6,1594,117,8820,1264,-1269,0,689.45,8963.6
2800,587.41,-596.88,-257.9,-4192,4617,8211,1274,-1280,0,695.17,10310.7
2820,592.47,-602.02,-257.6,-81,2392,5909,1285,-1291,0,701.15,6375.3
2840,597.49,-607.12,-253.4,-910,1096,7657,1295,-1302,0,706.87,7788.4
2860,602.46,-612.17,-251.9,103,4831,12689,1305,-1314,0,712.86,13577.9
2880,607.46,-617.25,-254.6,-2493,5899,10342,1315,-1324,0,718.3,12164.3
2900,612.48,-622.34,-255.4,703,-972,5307,1325,-1334,0,723.75,5440.9
2920,617.48,-627.43,-255.2,-1483,5039,8137,1336,-1344,0,729.46,9685.1
2940,622.5,-632.53,-257.7,-2884,1434,6838,1346,-1354,0,734.91,7558.6
2960,627.55,-637.66,-256.8,475,3341,8101,1358,-1364,0,740.89,8775.8
2980,632.59,-642.78,-255.4,-713,1108,13055,1369,-1374,0,746.61,13121.3
3000,637.64,-647.91,-259.7,-1990,7200,18906,1380,-1384,0,752.33,20328.2
3020,642.72,-653.08,-258.4,-1116,3283,10232,1391,-1394,0,758.04,10803.6
3040,647.78,-658.22,-257.4,-1554,5161,11025,1401,-1405,0,763.76,12272.0
3060,652.82,-663.33,-257.8,-1315,4493,10459,1411,-1416,0,769.47,11458.9
3080,657.85,-668.45,-256.5,-204,1391,12333,1422,-1427,0,775.46,12412.9
3100,662.86,-673.84,-254.3,-289,3619,14987,1432,-1439,0,781.45,15420.5
3120,668.13,-678.89,-252.7,-763,2282,3941,1442,-1450,0,787.17,4617.5
3140,673.09,-683.94,-252.9,-609,1784,4732,1452,-1461,0,792.88,5093.7
3160,678.06,-688.98,-253.5,966,-2970,6786,1462,-1472,0,798.6,7470.2
3180,682.99,-693.99,-251.8,-379,3590,11392,1474,-1483,0,804.86,11950.3
3200,687.93,-699.02,-251.8,-14,3654,14125,1485,-1493,0,810.57,14590.0
3220,692.85,-704.01,-247.6,-1521,4445,13174,1496,-1503,0,816.29,13986.6
3240,697.68,-708.92,-244.6,1276,-450,8813,1506,-1512,0,821.46,8916.3
3260,702.53,-713.85,-249.5,504,1331,12907,1517,-1521,0,826.9,12985.2
3280,707.41,-718.81,-248.9,987,-2153,6989,1527,-1531,0,832.35,7379.4
3300,712.29,-723.77,-248.3,-808,2119,8921,1537,-1540,0,837.52,9204.7
3320,717.2,-728.76,-250.6,1049,1872,7160,1548,-1550,0,843.24,7474.6
3340,722.13,-733.77,-251.5,857,4088,12338,1559,-1561,0,849.22,13025.8
3360,727.05,-738.76,-248.8,1364,2598,9398,1570,-1571,0,854.94,9845.4
3380,731.96,-743.76,-250.6,-130,2198,8949,1580,-1581,0,860.38,9215.9
3400,736.88,-748.75,-250.4,897,3887,13855,1591,-1592,0,866.37,14417.9
3420,741.8,-753.75,-248.2,231,2311,2838,1601,-1603,0,872.09,3667.2
3440,746.74,-758.77,-252.8,622,3161,10461,1611,-1614,0,877.8,10945.8
3460,751.68,-763.79,-249.7,-661,732,10435,1621,-1625,0,883.52,10481.5
3480,756.58,-768.77,-248.9,608,-184,9768,1632,-1635,0,889.24,9788.6
3500,761.42,-773.69,-246.9,-564,2071,5460,1644,-1647,0,895.77,5866.7
3520,766.28,-778.63,-246.7,1866,-508,5386,1655,-1658,0,901.76,5722.7
3540,771.07,-783.5,-243.2,-1713,5662,11915,1665,-1669,0,907.47,13302.6
3560,775.84,-788.63,-243.5,-168,275,8075,1675,-1680,0,913.19,8081.4
3580,780.93,-793.51,-246.1,2101,3408,10081,1685,-1690,0,918.63,10846.9
3600,785.77,-798.43,-247.4,2091,-1557,3848,1695,-1700,0,924.08,4648.0
3620,790.66,-803.4,-250.0,-908,4840,10798,1706,-1710,0,929.79,11867.9
3640,795.58,-808.39,-253.8,-1166,1470,14416,1717,-1720,0,935.51,14537.6
3660,800.5,-813.4,-249.7,-744,2553,7149,1729,-1731,0,941.77,7627.6
3680,805.43,-818.41,-251.1,-794,5559,13757,1739,-1742,0,947.48,14858.9
3700,810.4,-823.46,-254.2,-159,1424,9202,1751,-1750,0,952.93,9312.9
3720,815.38,-828.52,-254.0,-107,394,10595,1761,-1761,0,958.64,10602.9
3740,820.38,-833.6,-256.3,1795,-948,3330,1771,-1772,0,964.36,3900.0
3760,825.44,-838.73,-258.8,-1723,586,2960,1782,-1784,0,970.62,3474.7
3780,830.51,-843.89,-258.6,-917,4569,5286,1793,-1795,0,976.61,7046.9
3800,835.58,-849.04,-258.2,-2761,4622,14318,1803,-1807,0,982.6,15296.8
3820,840.68,-854.22,-259.1,-2073,2668,4949,1813,-1819,0,988.58,5992.3
3840,845.78,-859.41,-260.3,-538,493,9532,1824,-1831,0,994.84,9559.9
3860,850.88,-864.59,-259.4,-1351,641,6879,1836,-1842,0,1001.1,7039.7
3880,856.02,-869.81,-260.9,-536,2598,6160,1847,-1852,0,1006.82,6706.9
3900,861.16,-875.04,-260.8,328,-1207,7779,1858,-1862,0,1012.54,7878.9
3920,866.27,-880.22,-258.2,423,-728,77,1869,-1872,0,1018.25,845.5
3940,871.36,-885.4,-259.5,255,-759,2038,1879,-1881,0,1023.42,2189.6
3960,876.47,-890.59,-259.5,-251,3726,6134,1889,-1891,0,1028.87,7181.4
3980,881.58,-895.79,-262.5,1023,1616,13045,1900,-1901,0,1034.58,13184.5
4000,886.74,-901.33,-263.4,1366,1959,9697,1911,-1912,0,1040.57,9986.8
4020,892.19,-906.56,-259.7,-1393,2272,6052,1922,-1922,0,1046.29,6612.8
4040,897.28,-911.73,-259.7,1463,-1212,10671,1933,-1933,0,1052.28,10838.8
4060,902.38,-916.92,-259.5,-251,-98,4187,1943,-1944,0,1057.99,4195.7
4080,907.48,-922.1,-259.4,-846,3092,13611,1954,-1954,0,1063.71,13983.4
4100,912.57,-927.28,-259.9,-12,-163,7251,1964,-1965,0,1069.42,7252.8
4120,917.7,-932.49,-261.6,-1602,1221,13652,1974,-1976,0,1075.14,13799.8
4140,922.84,-937.7,-259.8,-694,5202,9506,1985,-1987,0,1081.13,10858.5
4160,927.94,-942.89,-260.9,-386,1937,9026,1995,-1999,0,1087.12,9239.6
4180,933.05,-948.08,-261.2,32,-220,14831,2006,-2010,0,1093.1,14832.7
4200,938.15,-953.27,-259.2,1691,-687,5216,2016,-2021,0,1098.82,5526.1
4220,943.2,-958.39,-254.8,-1289,5065,14036,2026,-2032,0,1104.54,14977.5
4240,948.2,-963.48,-256.7,1504,3791,21253,2036,-2043,0,1110.25,21640.8
4260,953.21,-968.56,-256.3,1236,2162,9291,2046,-2053,0,1115.7,9619.0
4280,958.22,-973.66,-255.0,-2794,5247,14812,2057,-2063,0,1121.41,15960.4
4300,963.27,-978.79,-257.8,-185,3003,7077,2067,-2073,0,1126.86,7690.0
4320,968.38,-983.98,-260.6,819,2505,11323,2078,-2083,0,1132.57,11625.7
4340,973.48,-989.17,-260.0,888,-1986,13819,2089,-2093,0,1138.29,13989.2
4360,978.58,-994.35,-259.4,-2104,1681,5503,2100,-2105,0,1144.55,6126.6
4380,983.69,-999.54,-256.8,-4497,2933,7609,2111,-2113,0,1149.72,9312.5
4400,988.73,-1004.66,-254.4,2899,-1679,5453,2121,-2123,0,1155.16,6399.9
4420,993.75,-1009.76,-255.5,-680,-591,6294,2131,-2134,0,1160.88,6358.2
4440,998.78,-1014.88,-255.4,2575,-1073,6169,2142,-2145,0,1166.87,6770.4
4460,1004.08,-1020.25,-253.8,2838,-127,6551,2152,-2157,0,1172.85,7140.4
4480,1009.05,-1025.31,-255.2,-2325,205,9057,2161,-2168,0,1178.3,9352.9
4500,1014.04,-1030.37,-255.7,2146,938,10435,2171,-2179,0,1184.01,10694.6
4520,1019.03,-1035.45,-253.4,-1047,3398,16073,2182,-2190,0,1190.0,16461.6
4540,1024.0,-1040.5,-251.0,1416,3640,13599,2192,-2201,0,1195.72,14148.8
4560,1028.95,-1045.52,-251.1,-1505,744,8455,2203,-2211,0,1201.43,8620.1
4580,1033.89,-1050.54,-248.3,-2514,691,6033,2214,-2220,0,1206.88,6572.3
4600,1038.75,-1055.49,-247.1,-55,2658,12670,2225,-2229,0,1212.32,12945.9
4620,1043.59,-1060.41,-246.4,1271,-939,7920,2235,-2238,0,1217.49,8076.1
4640,1048.46,-1065.35,-248.2,-1599,-57,9991,2245,-2248,0,1222.94,10118.3
4660,1053.33,-1070.3,-249.6,-725,6721,17745,2255,-2258,0,1228.38,18989.0
4680,1058.21,-1075.26,-248.4,-1038,1602,10289,2266,-2267,0,1233.82,10464.6
4700,1063.12,-1080.25,-248.4,-1730,7688,12200,2277,-2278,0,1239.81,14523.7
4720,1068.04,-1085.25,-250.6,2006,2471,8780,2288,-2288,0,1245.53,9339.1
4740,1072.96,-1090.24,-248.6,1537,-84,5470,2298,-2298,0,1250.97,5682.5
4760,1077.88,-1095.25,-251.7,1459,5300,11930,2308,-2309,0,1256.69,13135.6
4780,1082.82,-1100.27,-250.8,-2076,5887,10048,2318,-2319,0,1262.13,11829.2
4800,1087.78,-1105.3,-252.4,-775,1705,8952,2328,-2330,0,1267.85,9145.8
4820,1092.76,-1110.37,-254.1,786,830,8376,2339,-2341,0,1273.84,8453.6
4840,1097.72,-1115.41,-250.2,-2064,275,12861,2349,-2352,0,1279.55,13028.5
4860,1102.65,-1120.41,-250.2,1880,2124,11896,2360,-2364,0,1285.81,12229.5
4880,1107.57,-1125.41,-250.2,1724,-793,11966,2371,-2375,0,1291.8,12115.5
4900,1112.45,-1130.66,-246.7,1613,2694,11065,2381,-2386,0,1297.52,11501.9
4920,1117.58,-1135.58,-248.6,1904,1729,12644,2391,-2396,0,1302.96,12902.9
4940,1122.46,-1140.54,-248.3,3548,-2544,4414,2401,-2407,0,1308.68,6208.4
4960,1127.33,-1145.5,-248.8,1634,859,8787,2411,-2417,0,1314.12,8978.8
4980,1132.19,-1150.43,-247.4,883,1872,8207,2422,-2426,0,1319.56,8464.0
5000,1137.06,-1155.38,-248.6,-782,792,12130,2433,-2437,0,1325.55,12181.0
5020,1141.93,-1160.33,-248.6,-1874,2306,17736,2443,-2447,0,1331.0,17983.2
5040,1146.79,-1165.27,-250.6,-256,-1351,12548,2455,-2456,0,1336.71,12623.1
5060,1151.69,-1170.25,-251.5,1027,1789,10397,2465,-2466,0,1342.16,10599.7
5080,1156.58,-1175.21,-248.0,-1960,2102,5431,2476,-2477,0,1348.14,6144.6
