ms,heading,rotZ,wz,ax,ay,az,left,right,stationary,enc_heading,acc_abs
0,0.0,0.0,0.0,34,30,9826,0,0,0,0.0,9826.1
20,0.0,0.0,-0.1,37,0,9785,0,0,0,0.0,9785.1
40,0.0,0.0,0.0,-2,124,9859,0,0,0,0.0,9859.8
60,0.0,0.0,0.2,151,11,9833,0,0,0,0.0,9834.2
80,0.0,0.0,0.0,51,49,9840,0,0,0,0.0,9840.3
100,0.0,0.0,0.1,56,76,9819,0,0,0,0.0,9819.5
120,0.0,0.0,-0.1,18,-21,9833,0,0,0,0.0,9833.0
140,0.0,0.0,0.0,49,18,9804,0,0,0,0.0,9804.1
160,0.0,0.0,0.0,-19,126,9811,0,0,0,0.0,9811.8
180,0.0,0.0,0.0,-12,-156,9907,0,0,0,0.0,9908.2
200,0.02,-0.02,-1.9,-436,-637,9537,0,0,0,0.0,9568.2
220,0.19,-0.2,-15.1,-609,-522,9405,0,-2,0,0.54,9439.1
240,0.6,-0.61,-25.2,-1152,212,9971,0,-4,0,1.09,10039.6
260,1.22,-1.28,-37.7,-844,476,10048,1,-6,0,1.91,10094.6
280,2.1,-2.19,-51.7,-808,672,10311,2,-9,0,2.99,10364.4
300,3.35,-3.4,-66.4,-107,404,9506,6,-11,0,4.63,9515.2
320,4.8,-4.87,-77.7,-704,519,10712,10,-15,0,6.8,10747.6
340,6.49,-6.59,-91.9,-720,931,10537,16,-19,0,9.53,10602.5
360,8.48,-8.61,-106.5,-1934,1367,12195,23,-23,0,12.52,12422.8
380,10.73,-10.9,-118.9,-1213,392,10191,29,-29,0,15.79,10270.4
400,13.21,-13.43,-129.9,-1227,394,9382,35,-35,0,19.05,9470.1
420,15.91,-16.16,-139.0,-1351,3008,11072,41,-41,0,22.32,11552.6
440,18.74,-19.04,-145.0,1151,-1820,9873,46,-47,0,25.31,10105.1
460,21.72,-22.07,-154.4,-872,3434,9198,52,-54,0,28.85,9856.8
480,24.88,-25.28,-161.1,504,-1677,7636,59,-61,0,32.66,7834.2
500,28.15,-28.6,-167.0,335,2280,10236,66,-68,0,36.47,10492.2
520,31.5,-32.01,-170.0,-1879,3060,12200,73,-75,0,40.28,12717.5
540,34.91,-35.47,-173.1,-1453,1592,12809,81,-82,0,44.37,12989.1
560,38.39,-39.01,-178.0,-1201,5058,14084,89,-91,0,48.99,15012.8
580,41.93,-42.6,-179.4,-1872,3226,14576,96,-99,0,53.08,15045.6
600,45.53,-46.26,-182.6,-623,2888,13508,103,-107,0,57.16,13827.3
620,49.17,-49.96,-182.8,807,-2750,7929,111,-115,0,61.51,8431.1
640,52.86,-53.71,-186.3,871,-2879,6668,119,-125,0,66.41,7315.0
660,56.65,-57.57,-191.4,37,-498,10112,128,-133,0,71.04,10124.3
680,60.51,-61.48,-195.7,-1848,3257,7430,137,-142,0,75.94,8320.3
700,64.42,-65.46,-198.4,-1187,3683,7559,147,-151,0,81.11,8491.9
720,68.4,-69.5,-201.8,-2,-400,9355,156,-161,0,86.28,9363.5
740,72.47,-73.88,-206.9,-1062,2088,15099,166,-170,0,91.45,15279.6
760,76.85,-78.09,-210.5,3195,-2819,7029,175,-179,0,96.35,8219.6
780,81.06,-82.36,-212.0,1589,-3660,2620,186,-189,0,102.07,4773.4
800,85.37,-86.75,-219.7,2589,-2757,7531,196,-199,0,107.51,8427.3
820,89.81,-91.26,-224.2,1143,-1411,4584,206,-210,0,113.23,4930.6
840,94.33,-95.85,-229.7,380,1015,10657,217,-221,0,119.22,10712.0
860,98.94,-100.53,-234.0,359,-1856,5833,227,-231,0,124.66,6131.7
880,103.65,-105.32,-240.0,-47,-1693,6475,239,-241,0,130.65,6692.8
900,108.45,-110.19,-244.7,-1076,1283,9508,250,-253,0,136.91,9654.3
920,113.36,-115.18,-249.5,-4230,1705,9119,261,-265,0,143.17,10195.9
940,118.36,-120.26,-251.1,-559,941,7808,273,-277,0,149.7,7884.3
960,123.34,-125.33,-250.9,1902,2658,13415,284,-289,0,155.96,13807.4
980,128.35,-130.41,-252.8,-538,248,11464,295,-301,0,162.22,11479.3
1000,133.4,-135.54,-254.0,3086,703,8192,306,-314,0,168.76,8782.2
1020,138.45,-140.68,-254.4,674,-702,4851,317,-326,0,175.02,4947.7
1040,143.52,-145.83,-255.2,-1187,794,11765,328,-336,0,180.73,11851.4
1060,148.58,-150.97,-256.3,-666,-944,9250,338,-347,0,186.45,9321.9
1080,153.66,-156.14,-255.7,-531,-1205,8581,350,-358,0,192.71,8681.4
1100,158.8,-161.35,-259.5,468,775,8679,361,-367,0,198.15,8726.1
1120,163.98,-166.62,-259.7,-1936,3477,12369,372,-378,0,204.14,12993.5
1140,169.17,-171.89,-261.5,170,3602,12768,383,-389,0,210.13,13267.4
1160,174.37,-177.49,-259.6,-47,2383,5966,395,-400,0,216.39,6424.5
1180,179.58,-182.78,-262.1,-434,1506,7796,405,-411,0,222.1,7952.0
1200,185.1,-188.08,-262.3,-2978,3317,11459,417,-421,0,228.09,12295.5
1220,190.33,-193.39,-263.6,1684,890,9616,428,-433,0,234.35,9802.8
1240,195.59,-198.74,-265.8,-263,2538,8352,439,-444,0,240.34,8733.1
1260,200.87,-204.1,-265.1,-270,-275,11784,451,-455,0,246.6,11790.3
1280,206.14,-209.46,-265.3,2115,675,7676,461,-467,0,252.59,7990.6
1300,211.39,-214.8,-263.9,-905,21,6344,472,-478,0,258.58,6408.3
1320,216.62,-220.11,-262.5,20,3127,10693,482,-489,0,264.29,11140.9
1340,221.84,-225.41,-262.5,1302,873,4810,493,-501,0,270.55,5059.0
1360,227.05,-230.7,-260.9,-1043,574,13836,504,-512,0,276.54,13887.1
1380,232.21,-235.95,-259.1,2195,1932,14163,514,-523,0,282.26,14461.7
1400,237.29,-241.11,-253.1,1608,-2692,9453,525,-533,0,287.97,9959.5
1420,242.3,-246.2,-251.3,1015,6840,11992,536,-544,0,293.96,13842.8
1440,247.28,-251.26,-249.5,-1976,3489,14132,546,-554,0,299.41,14689.8
1460,252.25,-256.31,-249.2,-2884,5494,10134,557,-565,0,305.39,11882.7
1480,257.21,-261.35,-248.5,-1282,1063,7965,566,-574,0,310.29,8137.2
1500,262.16,-266.38,-246.4,-2801,7432,15245,577,-584,0,316.01,17189.8
1520,267.13,-271.43,-254.3,1056,1379,11304,587,-595,0,321.73,11436.7
1540,272.1,-276.49,-249.8,-4050,6402,16057,598,-605,0,327.44,17754.3
1560,277.1,-281.86,-250.7,4456,11,1933,609,-616,0,333.43,4857.2
1580,282.1,-286.65,-251.5,-424,-6743,5864,621,-627,0,339.69,8946.2
1600,287.16,-291.79,-256.5,-562,4541,15567,632,-639,0,345.95,16225.5
1620,292.24,-297.25,-254.6,2726,2047,12066,642,-649,0,351.39,12538.3
1640,297.58,-302.37,-252.0,997,-110,1682,653,-661,0,357.65,1958.4
1660,302.62,-307.5,-252.1,-455,3034,19099,664,-673,0,363.91,19343.8
1680,307.63,-312.58,-251.4,1025,4112,16078,674,-683,0,369.36,16627.1
1700,312.62,-317.66,-249.9,338,3425,9281,684,-693,0,374.8,9898.6
1720,317.62,-322.73,-250.5,2634,2811,12032,695,-704,0,380.79,12633.6
1740,322.56,-327.75,-248.3,2456,205,9279,705,-713,0,385.96,9600.7
1760,327.49,-332.76,-249.0,1814,-211,6148,716,-722,0,391.41,6413.5
1780,332.48,-337.84,-251.4,-1005,5844,15780,727,-731,0,396.85,16857.4
1800,337.51,-342.95,-255.2,-1460,-29,5030,738,-741,0,402.56,5237.7
1820,342.58,-348.1,-254.5,193,291,9795,748,-751,0,408.01,9801.2
1840,347.64,-353.24,-253.9,883,3937,12388,758,-762,0,413.72,13028.5
1860,352.68,-358.36,-253.2,707,1714,7375,769,-772,0,419.44,7604.5
1880,357.7,-363.46,-253.8,1252,-520,14141,779,-782,0,424.88,14205.8
1900,362.75,-368.6,-256.7,757,3650,18872,790,-793,0,430.87,19236.6
1920,367.84,-373.76,-256.9,2328,-3468,3535,801,-803,0,436.59,5472.0
1940,372.93,-378.94,-255.5,-17,335,6781,812,-814,0,442.58,6789.3
1960,378.02,-384.11,-254.8,61,864,10664,823,-825,0,448.56,10699.1
1980,383.1,-389.27,-253.8,1762,289,5135,833,-836,0,454.28,5436.6
2000,388.14,-394.4,-252.8,1868,1530,7079,843,-848,0,460.27,7479.5
2020,393.16,-399.49,-251.3,3667,967,10041,853,-858,0,465.71,10733.3
2040,398.13,-404.55,-247.7,444,936,7946,863,-870,0,471.7,8013.2
2060,403.31,-409.8,-243.8,-152,4011,10062,874,-881,0,477.69,10833.1
2080,408.13,-414.71,-242.0,452,2136,11225,885,-891,0,483.4,11435.4
2100,412.91,-419.56,-239.4,2368,-520,10910,895,-901,0,488.85,11176.1
2120,417.68,-424.41,-239.2,383,2320,5044,906,-911,0,494.56,5565.2
2140,422.45,-429.25,-239.4,1110,3463,11005,916,-921,0,500.01,11590.3
2160,427.2,-434.08,-239.6,252,1796,10635,925,-931,0,505.18,10788.5
2180,431.95,-438.91,-240.9,610,-460,9023,936,-942,0,511.17,9055.3
2200,436.75,-443.79,-242.5,421,591,3576,946,-951,0,516.34,3648.9
2220,441.58,-448.69,-244.7,1793,-302,8491,957,-961,0,522.06,8683.5
2240,446.43,-453.62,-245.6,-2888,-639,3657,969,-971,0,528.04,4703.5
2260,451.33,-458.6,-247.8,-2223,5887,13441,980,-982,0,534.03,14841.1
2280,456.28,-463.63,-249.1,-614,1101,8056,991,-993,0,540.02,8154.0
2300,461.23,-468.66,-246.2,-519,4876,19627,1001,-1004,0,545.74,20230.3
2320,466.17,-473.68,-248.2,-2171,5338,6150,1011,-1015,0,551.45,8427.9
2340,471.15,-478.74,-253.1,328,-1226,8562,1022,-1026,0,557.44,8655.5
2360,476.19,-483.86,-253.0,13,3822,10033,1033,-1037,0,563.43,10736.3
2380,481.23,-488.98,-255.4,127,1400,11968,1042,-1049,0,569.14,12050.3
2400,486.3,-494.13,-255.4,215,-330,5775,1053,-1058,0,574.59,5788.4
2420,491.38,-499.3,-254.6,-865,5144,10518,1064,-1069,0,580.58,11740.4
2440,496.46,-504.45,-257.0,1139,4756,16424,1075,-1078,0,586.02,17136.6
