ms,heading,rotZ,wz,ax,ay,az,left,right,stationary,enc_heading,acc_abs
0,0.0,0.0,0.0,65,35,9807,0,0,1,0.0,9807.3
20,0.0,0.0,0.0,30,28,9821,0,0,0,0.0,9821.1
40,0.0,0.0,-0.9,-62,112,9692,0,0,0,0.0,9692.8
60,0.01,-0.01,0.8,177,236,9711,0,0,0,0.0,9715.5
80,0.0,0.0,-0.5,-142,-38,9711,0,0,0,0.0,9712.1
100,0.01,-0.01,0.4,198,35,9809,0,0,0,0.0,9811.1
120,0.0,0.0,-0.2,-161,85,9821,0,0,0,0.0,9822.7
140,0.0,0.0,0.4,162,-7,9811,0,0,0,0.0,9812.3
160,0.0,0.0,-0.3,-140,100,9828,0,0,0,0.0,9829.5
180,0.01,-0.01,0.0,177,-48,9768,0,0,0,0.0,9769.7
200,0.01,-0.01,0.2,224,-177,9921,1,0,0,0.27,9925.1
220,0.02,-0.02,-2.4,-194,33,9931,1,0,0,0.27,9932.9
240,0.17,-0.18,-16.0,-1505,773,9711,2,-1,0,0.82,9857.3
260,0.73,-0.75,-38.7,-2282,-9,10346,4,-3,0,1.91,10594.7
280,1.63,-1.65,-50.1,-1697,354,10463,7,-5,0,3.27,10605.6
300,2.72,-2.76,-62.3,-929,-972,8541,10,-8,0,4.9,8646.2
320,4.12,-4.18,-79.1,-1289,550,9599,13,-12,0,6.8,9700.8
340,5.86,-5.95,-97.1,-1434,-14,8304,16,-18,0,9.25,8426.9
360,7.89,-8.02,-109.3,-3324,1132,9943,21,-24,0,12.25,10544.8
380,10.17,-10.33,-122.3,-1872,1777,11428,27,-30,0,15.51,11715.9
400,12.68,-12.88,-131.6,-1036,363,10241,33,-37,0,19.05,10299.7
420,15.34,-15.59,-138.3,-640,524,8378,39,-43,0,22.32,8418.7
440,18.13,-18.43,-143.7,-313,-314,11044,45,-49,0,25.59,11052.9
460,21.05,-21.39,-151.4,-464,945,8839,52,-56,0,29.4,8901.5
480,24.08,-24.46,-157.5,-1299,2157,9974,58,-63,0,32.93,10286.9
500,27.24,-27.68,-164.7,-265,-1394,10098,66,-69,0,36.75,10197.2
520,30.56,-31.05,-172.9,-1616,1293,5651,73,-76,0,40.56,6018.1
540,34.01,-34.56,-178.0,-2156,1774,9515,80,-84,0,44.64,9916.2
560,37.55,-38.15,-181.0,-1317,1556,7578,88,-92,0,48.99,7847.4
580,41.16,-41.82,-186.2,956,2105,15944,96,-99,0,53.08,16110.7
600,44.86,-45.58,-190.5,-114,2830,13071,104,-107,0,57.43,13374.3
620,48.66,-49.68,-195.8,-213,-297,5861,111,-115,0,61.51,5872.4
640,52.77,-53.62,-199.1,-140,2033,8111,120,-124,0,66.41,8363.1
