ms,heading,rotZ,wz,ax,ay,az,left,right,stationary,enc_heading,acc_abs
0,0.0,0.0,0.0,6,6,9854,0,0,1,0.0,9854.0
20,0.0,0.0,0.0,53,23,9814,0,0,0,0.0,9814.2
40,0.0,0.0,0.0,-28,102,9773,0,0,0,0.0,9773.6
60,0.01,0.0,0.0,117,-14,9785,0,0,0,0.0,9785.7
80,0.0,0.0,0.0,-59,54,9759,0,0,0,0.0,9759.3
100,0.0,0.0,-0.2,84,81,9773,0,0,0,0.0,9773.7
120,0.0,0.0,0.0,-2,40,9804,0,0,0,0.0,9804.1
140,0.01,0.0,0.1,82,71,9792,0,0,0,0.0,9792.6
160,0.01,0.0,0.2,-19,-9,9842,0,0,0,0.0,9842.0
180,0.01,0.0,-0.2,-493,-479,9811,0,0,0,0.0,9835.1
200,0.06,-0.06,-6.1,-476,-108,10072,0,0,0,0.0,10083.8
220,0.26,-0.26,-13.5,-1190,-860,9885,0,-2,0,0.54,9993.4
240,0.62,-0.63,-24.9,-1180,778,9931,-1,-4,0,0.82,10031.1
260,1.25,-1.27,-38.7,-1526,263,10822,3,-7,0,2.72,10932.2
280,2.14,-2.17,-50.2,-943,184,10294,6,-10,0,4.35,10338.7
300,3.24,-3.29,-60.8,-1092,-122,11099,10,-14,0,6.53,11153.3
320,4.55,-4.62,-71.9,94,-867,9016,14,-17,0,8.44,9058.1
340,6.1,-6.19,-83.8,-464,1226,10127,19,-21,0,10.89,10211.5
360,7.87,-7.99,-96.7,-531,100,8622,24,-26,0,13.61,8638.9
380,9.91,-10.06,-109.0,-998,876,7743,30,-31,0,16.6,7856.0
400,12.14,-12.33,-118.3,-1109,-333,9871,35,-36,0,19.33,9938.7
420,14.56,-14.79,-128.0,-637,349,9484,41,-42,0,22.59,9511.8
440,17.18,-17.45,-138.1,-1199,42,7607,48,-49,0,26.4,7701.0
460,20.0,-20.31,-147.4,-346,3192,10552,54,-55,0,29.67,11029.7
480,23.17,-23.54,-159.0,-2263,1415,6688,61,-62,0,33.48,7200.9
500,26.2,-26.82,-168.2,-2803,2471,10998,69,-69,0,37.56,11615.4
520,29.78,-30.26,-174.4,286,124,8978,76,-77,0,41.64,8983.4
540,33.31,-33.84,-181.9,-429,4380,7531,83,-84,0,45.46,8722.6
560,36.93,-37.52,-188.5,-1815,2720,7521,92,-92,0,50.08,8201.1
580,40.68,-41.33,-192.7,-524,2351,11216,100,-101,0,54.71,11471.7
600,44.5,-45.21,-196.0,-55,2114,11283,108,-110,0,59.34,11479.5
620,48.36,-49.13,-197.2,-173,-910,2480,116,-119,0,63.96,2647.3
640,52.25,-53.08,-199.3,-877,953,4949,124,-128,0,68.59,5115.7
660,56.22,-57.12,-204.6,-1213,1664,6296,133,-137,0,73.49,6624.2
680,60.29,-61.25,-208.5,-1332,2986,11918,142,-146,0,78.39,12358.4
700,64.4,-65.43,-210.2,226,251,9276,151,-157,0,83.83,9282.1
720,68.57,-69.67,-215.7,591,2445,17702,160,-165,0,88.46,17879.8
740,72.85,-74.01,-219.9,-1462,2399,8995,169,-175,0,93.63,9423.5
760,77.23,-78.47,-225.0,1340,864,8660,179,-184,0,98.8,8805.5
780,81.66,-82.97,-227.8,1805,476,13047,190,-193,0,104.25,13179.9
800,86.18,-87.56,-231.6,-1268,5003,9384,202,-203,0,110.24,10709.7
820,90.81,-92.27,-240.5,-1763,9842,21072,213,-212,0,115.68,23323.9
840,95.53,-97.06,-241.4,-2092,4732,12369,223,-223,0,121.4,13407.5
860,100.3,-101.91,-245.8,-600,5288,12252,234,-233,0,127.11,13357.9
880,105.13,-106.81,-247.5,-1569,1247,9276,244,-243,0,132.56,9490.0
900,110.02,-111.78,-247.9,850,-2328,4963,254,-255,0,138.54,5547.4
920,114.92,-117.06,-251.0,658,2780,9069,266,-266,0,144.8,9508.3
940,119.87,-121.8,-253.1,506,2,10153,277,-277,0,150.79,10165.6
