ms,heading,rotZ,wz,ax,ay,az,left,right,stationary,enc_heading,acc_abs
1,0.0,0.0,0.0,65,30,9802,0,0,1,0.0,9802.3
20,0.0,0.0,0.0,108,2,9838,0,0,0,0.0,9838.6
40,0.0,0.0,-0.3,-21,145,9840,0,0,0,0.0,9841.1
60,0.0,0.0,0.2,165,-26,9807,0,0,0,0.0,9808.4
80,0.0,0.0,0.0,-62,83,9811,0,0,0,0.0,9811.5
100,0.0,0.0,0.1,129,90,9814,0,0,0,0.0,9815.3
120,0.0,0.0,-0.1,-19,-55,9811,0,0,0,0.0,9811.2
140,0.0,0.0,0.1,98,42,9804,0,0,0,0.0,9804.6
160,0.0,0.0,0.0,-26,95,9823,0,0,0,0.0,9823.5
180,0.0,0.0,-0.2,-175,-187,10022,0,0,0,0.0,10025.3
200,0.06,-0.06,-6.3,-770,-984,9420,0,0,0,0.0,9502.5
220,0.35,-0.36,-21.6,-1412,-522,10788,0,-2,0,0.54,10892.5
240,0.86,-0.87,-30.6,-474,1930,9217,2,-3,0,1.36,9428.8
260,1.62,-1.65,-45.3,-1552,71,9269,4,-6,0,2.72,9398.3
280,2.65,-2.69,-56.6,-1408,1513,10850,6,-9,0,4.08,11045.1
300,3.85,-3.91,-64.6,-1434,-148,9035,9,-12,0,5.72,9149.3
320,5.25,-5.33,-76.7,-1588,608,10251,13,-15,0,7.62,10391.1
340,6.94,-7.05,-92.7,-1249,-891,9155,18,-20,0,10.34,9282.7
360,8.94,-9.08,-107.0,-1329,562,9284,23,-24,0,12.79,9395.5
380,11.17,-11.35,-116.4,-2263,2205,12918,29,-30,0,16.06,13298.8
400,13.61,-13.83,-128.5,-943,-1111,9291,35,-36,0,19.33,9404.6
420,16.28,-16.54,-138.0,-877,1156,7812,42,-42,0,22.86,7945.6
440,19.1,-19.41,-144.9,-2277,2481,13212,48,-49,0,26.4,13634.4
460,22.04,-22.39,-149.6,-491,-2307,7502,53,-56,0,29.67,7864.1
480,25.07,-25.47,-154.9,-1377,1987,10802,60,-63,0,33.48,11069.2
500,28.22,-28.67,-160.4,1158,1805,10848,66,-70,0,37.02,11057.9
520,31.48,-31.99,-167.1,-1268,1611,11471,73,-77,0,40.83,11652.8
540,34.85,-35.41,-171.2,821,-1442,7340,81,-84,0,44.91,7525.2
560,38.52,-39.14,-176.8,494,-311,9685,88,-92,0,48.99,9702.6
580,42.06,-42.74,-180.5,-268,2407,11366,97,-99,0,53.35,11621.2
600,45.66,-46.39,-181.1,-1780,720,8061,105,-108,0,57.98,8286.5
620,49.33,-50.12,-186.0,56,438,8252,113,-117,0,62.6,8263.8
640,53.08,-53.93,-189.2,-355,4414,16446,121,-125,0,66.96,17031.7
660,56.85,-57.77,-190.6,-1199,3127,11438,128,-134,0,71.31,11918.2
680,60.71,-61.69,-197.0,-2320,4107,14476,137,-143,0,76.21,15225.1
700,64.71,-65.75,-204.9,309,687,11488,146,-153,0,81.38,11512.7
