=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:17:02
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 7.76kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 8.52kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 7.94kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 8.06kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 8.42kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 8.68kB/s]
 95%|█████████▌| 7.10k/7.45k [00:01<00:00, 5.68kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 5.58kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.157549, 0.2294451) / 角速度 Matrix([
    [   0.040],
    [  -0.019],
    [  -0.084],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,1,0,0,0,20,42,9833,0,0,1
T,20,0,0,0,25,21,9830,0,0,0
T,40,0,0,0,87,35,9771,0,0,0
T,60,0,0,0,18,42,9792,0,0,0
T,80,0,0,0,58,64,9778,0,0,0
T,100,0,0,1,30,28,9778,0,0,0
T,120,0,0,0,4,57,9823,1,0,0
T,140,0,0,1,25,49,9835,1,0,0
T,160,0,0,0,34,14,9788,1,0,0
T,180,0,0,0,32,0,9830,1,0,0
T,200,2,-2,-39,-1078,-563,9716,1,1,0
T,220,26,-27,-222,-851,500,9773,1,-2,0
T,240,90,-91,-378,-1090,-177,9362,3,-4,0
T,260,173,-175,-444,-481,35,9723,5,-6,0
T,280,271,-275,-547,-1047,18,8378,6,-8,0
T,300,394,-400,-680,-1718,1482,10389,9,-12,0
T,320,541,-549,-790,-957,-122,9580,12,-16,0
T,340,710,-721,-903,-1310,-448,6879,17,-20,0
T,360,902,-916,-1017,-2405,2608,9439,22,-25,0
T,380,1118,-1136,-1145,-2452,378,8464,28,-30,0
T,400,1359,-1381,-1266,-1630,1400,10349,34,-36,0
T,420,1621,-1647,-1346,-1050,-206,9224,39,-42,0
T,440,1898,-1929,-1442,364,-211,7894,45,-49,0
T,460,2193,-2228,-1525,-2102,3611,17790,51,-55,0
T,480,2501,-2542,-1573,-1566,-4992,5974,58,-61,0
T,500,2824,-2870,-1652,271,2165,8367,65,-68,0
T,520,3160,-3211,-1712,-436,61,8562,72,-76,0
T,540,3529,-3586,-1778,252,1662,9835,79,-83,0
T,560,3884,-3947,-1802,-178,323,10564,86,-89,0
T,580,4249,-4317,-1869,1314,-390,9496,95,-100,0
T,600,4624,-4699,-1913,110,-259,10098,102,-106,0
T,620,5009,-5089,-1962,-1569,4222,16697,110,-115,0
T,640,5399,-5486,-1965,-533,1015,11743,118,-122,0
T,660,5795,-5888,-2021,632,1456,12615,126,-132,0
T,680,6200,-6300,-2051,-642,2193,8527,135,-142,0
T,700,6612,-6719,-2083,-742,1587,9802,144,-152,0
T,720,7029,-7143,-2105,1132,-232,12436,152,-161,0
T,740,7454,-7574,-2179,-194,3966,16768,161,-171,0
T,760,7888,-8015,-2183,508,4294,8302,171,-181,0
T,780,8330,-8464,-2250,-763,814,9678,181,-191,0
T,800,8780,-8921,-2291,-694,4785,16114,192,-201,0
T,820,9241,-9390,-2330,-1258,2114,11268,203,-211,0
T,840,9710,-9867,-2367,-384,-261,11629,214,-222,0
T,860,10181,-10345,-2348,-213,-108,7980,224,-232,0
T,880,10657,-10828,-2411,1124,600,10327,235,-242,0
T,900,11141,-11321,-2454,-64,658,15620,245,-252,0
T,920,11631,-11819,-2488,-26,2416,7022,256,-262,0
T,940,12129,-12325,-2507,1241,-857,10093,267,-272,0
T,960,12632,-12835,-2520,-1737,4181,9864,278,-283,0
T,980,13133,-13375,-2520,-337,739,6124,290,-294,0
T,1000,13667,-13887,-2546,-562,1271,11476,300,-306,0
T,1020,14176,-14404,-2554,-1635,3305,9682,310,-317,0
T,1040,14690,-14926,-2601,1172,-230,8283,320,-328,0
T,1060,15207,-15452,-2607,234,3374,14769,331,-340,0
T,1080,15725,-15978,-2602,942,4095,18084,342,-351,0
T,1100,16240,-16502,-2595,-983,3319,10535,353,-363,0
T,1120,16754,-17024,-2602,999,1144,12859,363,-374,0
T,1140,17267,-17545,-2560,200,1796,8390,374,-385,0
T,1160,17775,-18061,-2562,584,1580,9809,385,-396,0
T,1180,18283,-18577,-2559,698,838,10733,394,-407,0
T,1200,18790,-19093,-2547,200,1906,7349,405,-417,0
T,1220,19296,-19607,-2536,352,1496,11208,415,-427,0
T,1240,19803,-20122,-2565,705,2004,11538,426,-437,0
T,1260,20310,-20637,-2546,-123,2354,10373,437,-447,0
T,1280,20816,-21152,-2549,608,823,10377,448,-458,0
T,1300,21326,-21670,-2579,395,3238,14528,459,-467,0
T,1320,21837,-22189,-2564,-647,679,6778,470,-477,0
T,1340,22345,-22705,-2543,-2697,3089,7249,481,-487,0
T,1360,22855,-23223,-2572,513,3142,9862,491,-498,0
T,1380,23367,-23744,-2566,1501,2390,8462,501,-510,0
T,1400,23874,-24259,-2538,1089,3333,14363,511,-521,0
T,1420,24376,-24799,-2537,1295,-38,3280,521,-532,0
T,1440,24909,-25311,-2530,-886,-1130,4562,531,-543,0
T,1460,25415,-25825,-2529,-730,6450,7512,541,-554,0
T,1480,25922,-26340,-2559,-2095,2117,6824,552,-565,0
T,1500,26435,-26861,-2574,-1436,4605,9307,563,-575,0
T,1520,26947,-27381,-2538,-1554,2423,9069,574,-585,0
T,1540,27448,-27891,-2512,1627,-625,9799,585,-594,0
T,1560,27951,-28402,-2524,2525,-2556,-3215,595,-603,0
T,1580,28459,-28917,-2552,662,1973,15240,605,-612,0
T,1600,28968,-29435,-2578,-1379,2792,12532,616,-622,0
T,1620,29481,-29956,-2570,215,2991,11956,626,-632,0
T,1640,29993,-30476,-2556,-1391,5846,12075,637,-642,0
T,1660,30499,-30990,-2528,203,1008,11199,648,-652,0
T,1680,31007,-31506,-2543,698,2521,6033,657,-663,0
T,1700,31513,-32020,-2537,-299,2289,12799,668,-672,0
T,1720,32019,-32535,-2552,504,3072,11177,677,-683,0
T,1740,32524,-33048,-2540,-116,2653,6680,687,-693,0
T,1760,33027,-33559,-2512,-1753,4404,7423,697,-704,0
T,1780,33524,-34064,-2481,-377,878,8233,707,-715,0
T,1800,34017,-34565,-2468,470,-1550,5505,718,-726,0
T,1820,34506,-35062,-2449,-218,-551,10363,728,-737,0
T,1840,34991,-35555,-2430,584,2953,8058,738,-748,0
T,1860,35474,-36045,-2434,-1900,-156,1061,748,-758,0
T,1880,35958,-36567,-2442,-1408,2778,8355,757,-767,0
T,1900,36472,-37059,-2421,475,193,9625,767,-777,0
T,1920,36957,-37553,-2446,852,3149,9771,778,-786,0
T,1940,37446,-38049,-2481,-2867,2004,19959,789,-797,0
T,1960,37937,-38548,-2463,68,2802,10401,799,-806,0
T,1980,38426,-39045,-2460,940,399,6575,810,-816,0
T,2000,38919,-39546,-2498,-2668,409,6965,821,-825,0
T,2020,39412,-40047,-2455,473,-3401,3000,831,-836,0
T,2040,39904,-40547,-2467,-2189,4689,10456,841,-845,0
T,2060,40397,-41048,-2485,2034,-1976,4533,852,-857,0
T,2080,40891,-41549,-2477,-237,5813,9704,862,-868,0
T,2100,41379,-42046,-2448,1089,2179,12243,872,-879,0
T,2120,41864,-42539,-2440,-2815,4172,10855,881,-890,0
T,2140,42352,-43034,-2464,-1562,2526,18920,891,-901,0
T,2160,42843,-43533,-2462,-351,2016,8660,902,-912,0
T,2180,43333,-44031,-2474,-237,-393,7480,913,-923,0
T,2200,43825,-44531,-2477,760,1520,6439,924,-932,0
T,2220,44314,-45028,-2456,-2893,3928,7521,935,-942,0
T,2240,44801,-45522,-2437,-1185,-817,10167,945,-951,0
T,2260,45290,-46019,-2463,456,3151,12147,956,-960,0
T,2280,45783,-46521,-2475,1722,3111,13570,965,-969,0
T,2300,46276,-47022,-2472,1634,2898,6623,976,-979,0
T,2320,46773,-47556,-2511,-1237,3183,7851,987,-989,0
T,2340,47305,-48067,-2516,-879,3899,15087,998,-999,0
T,2360,47805,-48575,-2504,1454,1360,9444,1009,-1010,0
T,2380,48306,-49084,-2539,1769,3877,11333,1019,-1020,0
T,2400,48806,-49593,-2522,-270,948,12656,1029,-1031,0
T,2420,49309,-50104,-2548,1499,3147,16635,1038,-1041,0
T,2440,49816,-50619,-2579,2304,1765,16716,1049,-1052,0
T,2460,50327,-51138,-2588,-768,3638,17036,1059,-1064,0
T,2480,50838,-51657,-2570,949,2220,15512,1070,-1075,0
T,2500,51346,-52174,-2555,-851,1362,9145,1081,-1086,0
T,2520,51855,-52691,-2565,-685,1173,11698,1091,-1097,0
T,2540,52362,-53206,-2541,1,845,12897,1101,-1108,0
T,2560,52869,-53720,-2550,-422,2181,8999,1111,-1119,0
T,2580,53376,-54236,-2560,2380,488,6418,1120,-1129,0
T,2600,53887,-54755,-2577,-66,2143,10831,1131,-1139,0
T,2620,54397,-55273,-2566,-1737,2902,10232,1141,-1149,0
T,2640,54909,-55794,-2591,-834,679,12243,1152,-1159,0
