=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:15:54
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 9.84kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 8.80kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 8.53kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 8.79kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 8.56kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 8.42kB/s]
 95%|█████████▌| 7.10k/7.45k [00:00<00:00, 8.10kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 6.24kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.1530007, 0.2358588) / 角速度 Matrix([
    [   0.042],
    [  -0.021],
    [   0.049],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,1,0,0,0,23,45,9823,0,0,1
T,20,0,0,0,-5,21,9816,0,0,0
T,40,0,0,-7,4,83,9761,0,0,0
T,60,1,0,3,127,229,9740,0,0,0
T,80,0,0,-3,-95,-2,9730,0,0,0
T,100,1,0,2,177,54,9778,0,0,0
T,120,0,0,-2,-116,119,9816,0,0,0
T,140,1,-1,1,179,11,9790,0,0,0
T,160,0,0,-2,-145,4,9819,0,0,0
T,180,1,-1,0,125,102,9811,0,0,0
T,200,1,-1,-2,-104,-62,9878,0,0,0
T,220,3,-3,-23,-758,38,8796,0,0,0
T,240,20,-20,-170,-1751,-400,10456,-1,-1,0
T,260,78,-79,-383,-505,294,9983,3,-3,0
T,280,168,-171,-500,-1424,442,10487,6,-6,0
T,300,277,-281,-597,-597,138,7375,9,-9,0
T,320,412,-419,-763,-1576,296,10225,13,-14,0
T,340,585,-594,-958,-2178,1082,9948,18,-19,0
T,360,791,-804,-1110,-1216,921,10604,23,-24,0
T,380,1023,-1039,-1219,-3050,2224,12618,29,-30,0
T,400,1275,-1295,-1304,27,-177,9243,34,-37,0
T,420,1543,-1584,-1396,-21,-438,7440,41,-43,0
T,440,1844,-1873,-1452,-711,-953,6069,47,-49,0
T,460,2142,-2177,-1550,-931,1899,8567,53,-56,0
T,480,2454,-2493,-1606,-1886,1925,8505,60,-63,0
T,500,2779,-2823,-1663,-2846,1465,10072,67,-70,0
T,520,3114,-3164,-1710,-2526,4237,11646,74,-76,0
T,540,3458,-3514,-1750,-709,-263,10282,81,-86,0
T,560,3815,-3876,-1846,-156,-429,9525,90,-92,0
T,580,4183,-4250,-1875,-1912,694,12527,97,-100,0
T,600,4558,-4631,-1878,-1979,1084,9916,105,-107,0
T,620,4938,-5017,-1930,1932,-4072,8209,112,-116,0
T,640,5328,-5413,-1975,243,-797,9912,121,-125,0
T,660,5725,-5817,-2020,769,176,10026,130,-135,0
T,680,6130,-6229,-2059,-348,3664,11500,138,-144,0
T,700,6542,-6647,-2091,494,399,12269,147,-153,0
T,720,6962,-7074,-2124,1527,220,10709,156,-163,0
T,740,7390,-7508,-2176,-929,1920,8992,165,-173,0
T,760,7826,-7952,-2220,-415,2026,14218,175,-183,0
T,780,8271,-8403,-2260,-242,2442,15985,185,-193,0
T,800,8726,-8866,-2321,1847,-685,5737,197,-202,0
T,820,9190,-9338,-2332,1582,603,7039,208,-212,0
T,840,9659,-9814,-2379,651,-1511,3172,218,-222,0
T,860,10135,-10326,-2409,-618,2409,8978,228,-232,0
T,880,10645,-10816,-2438,316,3868,16154,239,-242,0
T,900,11132,-11311,-2459,-1924,4203,7258,249,-253,0
T,920,11625,-11812,-2486,1802,-347,9845,260,-264,0
T,940,12120,-12315,-2483,470,2363,8703,272,-275,0
T,960,12615,-12818,-2490,-1062,1999,6989,284,-286,0
T,980,13114,-13325,-2519,-1040,-850,11068,294,-297,0
T,1000,13616,-13835,-2521,672,711,12020,304,-308,0
T,1020,14118,-14345,-2534,-690,4716,11617,315,-320,0
T,1040,14625,-14860,-2561,-476,1638,16088,325,-331,0
T,1060,15133,-15376,-2547,125,2593,6186,335,-342,0
T,1080,15640,-15892,-2564,-784,1901,12885,346,-355,0
T,1100,16148,-16408,-2559,2115,1178,10743,358,-366,0
T,1120,16652,-16920,-2518,-782,2047,14605,369,-377,0
T,1140,17153,-17429,-2515,1473,895,10810,379,-388,0
T,1160,17654,-17938,-2536,1008,2409,12142,390,-398,0
T,1180,18157,-18449,-2544,1132,871,7972,400,-408,0
T,1200,18661,-18961,-2542,-858,3559,13778,410,-419,0
T,1220,19165,-19474,-2545,-1476,3875,10385,421,-429,0
T,1240,19670,-19987,-2533,-633,-3152,8892,432,-439,0
T,1260,20177,-20502,-2548,-1564,3156,9147,443,-449,0
T,1280,20688,-21021,-2571,973,220,11736,455,-460,0
T,1300,21200,-21572,-2562,1129,1894,10124,466,-470,0
T,1320,21742,-22092,-2567,203,2687,10060,476,-482,0
T,1340,22252,-22611,-2553,2423,2711,11170,486,-493,0
T,1360,22765,-23131,-2591,1800,-694,11220,497,-505,0
T,1380,23276,-23651,-2550,-1372,5405,4724,508,-516,0
T,1400,23785,-24168,-2544,1008,3829,8011,518,-528,0
T,1420,24293,-24684,-2541,421,3039,10158,528,-539,0
T,1440,24799,-25198,-2555,1876,267,11564,539,-550,0
T,1460,25305,-25712,-2550,-351,3307,8997,549,-560,0
T,1480,25811,-26226,-2543,-1649,3499,10893,561,-569,0
T,1500,26312,-26736,-2518,-616,-1562,4545,572,-579,0
T,1520,26814,-27246,-2511,1624,-1748,1173,582,-588,0
T,1540,27315,-27754,-2495,-2090,888,5236,592,-598,0
T,1560,27815,-28263,-2524,-370,3762,5952,603,-608,0
T,1580,28317,-28773,-2552,992,-2891,6752,613,-617,0
T,1600,28821,-29285,-2544,3364,-2819,10900,624,-627,0
T,1620,29328,-29800,-2536,383,5128,7932,635,-638,0
T,1640,29834,-30314,-2538,-152,957,12567,646,-648,0
T,1660,30340,-30828,-2531,-2012,5892,14237,656,-658,0
T,1680,30845,-31341,-2543,1286,-177,7789,666,-669,0
T,1700,31351,-31856,-2558,641,1836,7722,676,-679,0
T,1720,31860,-32373,-2550,-284,1499,7698,686,-690,0
T,1740,32364,-32886,-2513,-50,3010,8890,696,-701,0
T,1760,32864,-33423,-2526,-682,1784,12362,707,-713,0
T,1780,33390,-33928,-2502,1852,713,15667,718,-723,0
T,1800,33881,-34426,-2452,-446,3219,8873,728,-735,0
T,1820,34367,-34920,-2436,831,775,6208,738,-745,0
T,1840,34850,-35412,-2428,485,3726,9004,749,-756,0
T,1860,35333,-35902,-2410,-277,1463,8252,758,-765,0
T,1880,35814,-36390,-2434,892,711,9854,769,-775,0
T,1900,36298,-36883,-2465,98,1046,8371,779,-785,0
T,1920,36787,-37379,-2451,-2742,6879,15873,790,-795,0
T,1940,37272,-37873,-2430,-1400,351,3573,801,-807,0
T,1960,37762,-38370,-2469,-1735,9092,13955,812,-815,0
T,1980,38256,-38872,-2488,-7,390,9969,823,-825,0
T,2000,38751,-39375,-2490,-519,2744,9709,832,-836,0
T,2020,39248,-39880,-2511,-95,725,3666,844,-847,0
T,2040,39746,-40386,-2481,203,69,6117,854,-858,0
T,2060,40241,-40889,-2469,148,2864,15414,864,-869,0
T,2080,40734,-41390,-2472,-38,1681,7992,874,-881,0
T,2100,41228,-41891,-2469,-284,2553,6432,884,-892,0
T,2120,41720,-42392,-2465,127,1532,9661,895,-903,0
T,2140,42211,-42890,-2459,-1197,3975,11285,906,-913,0
T,2160,42701,-43389,-2467,551,4656,17107,917,-922,0
T,2180,43189,-43884,-2439,-2325,5226,10265,928,-932,0
T,2200,43677,-44409,-2456,-1310,4675,9343,938,-941,0
T,2220,44196,-44908,-2478,-476,-2845,7827,949,-951,0
T,2240,44688,-45408,-2458,-1111,1606,5897,959,-961,0
T,2260,45178,-45906,-2479,-242,3508,9341,969,-971,0
T,2280,45672,-46408,-2495,-2445,5772,11025,980,-981,0
T,2300,46169,-46913,-2495,-3007,3683,3409,991,-991,0
T,2320,46666,-47417,-2499,-1815,1927,7884,1003,-1002,0
T,2340,47164,-47924,-2484,-711,335,3440,1013,-1012,0
T,2360,47664,-48431,-2530,1269,993,17141,1023,-1023,0
T,2380,48166,-48942,-2528,-585,1676,6869,1033,-1035,0
T,2400,48671,-49455,-2547,1558,5396,17521,1044,-1046,0
T,2420,49176,-49968,-2557,2380,-572,11302,1054,-1057,0
T,2440,49678,-50478,-2516,-1145,2304,7970,1065,-1069,0
T,2460,50180,-50988,-2512,-457,3125,5226,1076,-1080,0
T,2480,50683,-51499,-2511,-540,2430,3497,1087,-1091,0
T,2500,51185,-52009,-2523,2136,2859,9496,1097,-1102,0
T,2520,51685,-52518,-2518,-723,1551,9140,1107,-1113,0
T,2540,52190,-53031,-2541,411,3705,13676,1117,-1123,0
T,2560,52696,-53544,-2535,-948,1817,9895,1128,-1133,0
T,2580,53203,-54060,-2561,2186,3920,9862,1138,-1144,0
T,2600,53713,-54579,-2573,1449,2962,8863,1149,-1154,0
T,2620,54223,-55096,-2566,-464,3123,8904,1160,-1165,0
T,2640,54733,-55615,-2579,-2154,6057,13377,1172,-1174,0
T,2660,55277,-56167,-2582,918,2169,12245,1182,-1184,0
T,2680,55787,-56686,-2562,-1798,3173,10599,1192,-1195,0
T,2700,56298,-57204,-2580,899,382,8159,1203,-1206,0
T,2720,56807,-57722,-2573,-1325,-2376,2924,1213,-1218,0
T,2740,57317,-58240,-2551,527,1738,9279,1223,-1229,0
T,2760,57824,-58755,-2538,51,2160,8266,1233,-1240,0
T,2780,58332,-59271,-2561,186,2160,12484,1243,-1252,0
T,2800,58840,-59788,-2545,-1009,3108,5797,1254,-1262,0
T,2820,59348,-60304,-2555,-1381,5592,8266,1265,-1273,0
T,2840,59854,-60818,-2546,-1635,26,4175,1276,-1282,0
T,2860,60358,-61330,-2518,1641,921,8168,1286,-1292,0
T,2880,60859,-61839,-2522,-929,2854,7108,1297,-1301,0
