=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:14:50
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 8.61kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 8.96kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 9.04kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 9.14kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 8.75kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 8.93kB/s]
 95%|█████████▌| 7.10k/7.45k [00:00<00:00, 7.07kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 6.25kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.1395846, 0.1962798) / 角速度 Matrix([
    [  -0.027],
    [   0.054],
    [  -0.018],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,1480,25678,-26091,-2635,-1405,-515,16238,568,-574,0
T,1500,26195,-26616,-2616,1219,-6094,1113,582,-584,0
T,1520,26716,-27146,-2653,-66,7556,9862,590,-594,0
T,1540,27236,-27674,-2618,184,-8822,75,600,-605,0
T,1560,27754,-28201,-2654,-1649,3801,8663,610,-615,0
T,1580,28273,-28728,-2648,970,1204,11017,622,-626,0
T,1600,28796,-29259,-2700,1018,-244,8703,633,-636,0
T,1620,29318,-29789,-2651,-1668,1204,6200,644,-646,0
T,1640,29836,-30317,-2649,-379,-551,3836,654,-658,0
T,1660,30356,-30844,-2634,101,-1092,7746,664,-669,0
T,1680,30872,-31368,-2627,3153,-2850,10370,674,-680,0
T,1700,31385,-31890,-2612,2755,366,7612,684,-691,0
T,1720,31893,-32407,-2575,-668,2720,11512,695,-702,0
T,1740,32395,-32916,-2535,-325,2888,10222,706,-713,0
T,1760,32888,-33418,-2513,1378,1868,12983,716,-724,0
T,1780,33377,-33914,-2471,4063,-1312,4132,727,-734,0
T,1800,33859,-34404,-2435,2229,93,14619,737,-744,0
T,1820,34335,-34887,-2428,812,-429,8297,747,-754,0
T,1840,34812,-35372,-2414,982,1422,3772,756,-765,0
T,1860,35290,-35886,-2426,1966,4423,10248,766,-774,0
T,1880,35792,-36368,-2425,561,107,13606,777,-784,0
T,1900,36270,-36854,-2456,-1145,3013,11204,788,-793,0
T,1920,36752,-37343,-2458,1314,823,10540,799,-804,0
T,1940,37235,-37835,-2491,-1528,4107,13303,810,-813,0
T,1960,37727,-38334,-2503,58,-2731,1235,821,-824,0
T,1980,38221,-38836,-2519,-929,4625,10946,831,-835,0
T,2000,38710,-39333,-2487,160,-606,8464,842,-847,0
T,2020,39201,-39832,-2506,-462,3197,6747,853,-858,0
T,2040,39693,-40332,-2506,568,426,7662,864,-869,0
T,2060,40182,-40828,-2475,1741,512,12436,873,-880,0
