=== 実行ログ ===
スクリプト: run_gyro_state_trace.py
実行日時 : 2026-09-19 11:12:56
ハブ     : --name Pybricks Hub3
==================================================

Searching for Pybricks Hub3...

  0%|          | 0.00/7.45k [00:00<?, ?B/s]
 14%|█▎        | 1.01k/7.45k [00:00<00:00, 8.62kB/s]
 27%|██▋       | 2.03k/7.45k [00:00<00:00, 8.38kB/s]
 41%|████      | 3.04k/7.45k [00:00<00:00, 8.74kB/s]
 54%|█████▍    | 4.06k/7.45k [00:00<00:00, 8.94kB/s]
 68%|██████▊   | 5.07k/7.45k [00:00<00:00, 9.00kB/s]
 82%|████████▏ | 6.08k/7.45k [00:00<00:00, 8.37kB/s]
 95%|█████████▌| 7.10k/7.45k [00:01<00:00, 5.38kB/s]
100%|██████████| 7.45k/7.45k [00:01<00:00, 5.55kB/s]
=== ロボット初期化開始 ===
★ 走行設定: new （new＝今年の値 / old＝昨年の速度・加速度・PID）
✓ 機体の校正表: Pybricks Hub3 {'heading_correction': 365.8, 'wheel': 62.32, 'axle': 114.48}
✓ ハブ設定完了
✓ モーター設定完了
✓ デフォルト設定適用: 直進={'straight_acceleration': 800, 'straight_speed': 550}, 回転={'turn_acceleration': 313, 'turn_rate': 250}
✓ ロボットパラメータ設定完了
✓ PID制御設定完了（Pybricks の既定値を使用）
✓ センサー初期化完了
✓ モーター角度リセット完了: 全モーター=0°
=== ロボット初期化完了 ===
# imu.settings: (2.0, 2500.0, (0.107595, -1.197198, -0.486059), (366.1989, 351.5872, 362.0139), (10031.61, -9781.568, 9785.638, -9813.727, 9523.833, -10133.98), 365.8)
# 前: tilt (-0.2344531, 0.1916773) / 角速度 Matrix([
    [  -0.031],
    [  -0.010],
    [  -0.025],
])
# ★いま★ ライトが緑になったら（ピーと鳴ったら）、手で定規にぴったり当て直して、手を離してね
# 列: T,ms,heading*100,rotZ*100,wz*10,ax,ay,az,left,right,stationary
T,0,0,0,0,34,30,9826,0,0,0
T,20,0,0,-1,37,0,9785,0,0,0
T,40,0,0,0,-2,124,9859,0,0,0
T,60,0,0,2,151,11,9833,0,0,0
T,80,0,0,0,51,49,9840,0,0,0
T,100,0,0,1,56,76,9819,0,0,0
T,120,0,0,-1,18,-21,9833,0,0,0
T,140,0,0,0,49,18,9804,0,0,0
T,160,0,0,0,-19,126,9811,0,0,0
T,180,0,0,0,-12,-156,9907,0,0,0
T,200,2,-2,-19,-436,-637,9537,0,0,0
T,220,19,-20,-151,-609,-522,9405,0,-2,0
T,240,60,-61,-252,-1152,212,9971,0,-4,0
T,260,122,-128,-377,-844,476,10048,1,-6,0
T,280,210,-219,-517,-808,672,10311,2,-9,0
T,300,335,-340,-664,-107,404,9506,6,-11,0
T,320,480,-487,-777,-704,519,10712,10,-15,0
T,340,649,-659,-919,-720,931,10537,16,-19,0
T,360,848,-861,-1065,-1934,1367,12195,23,-23,0
T,380,1073,-1090,-1189,-1213,392,10191,29,-29,0
T,400,1321,-1343,-1299,-1227,394,9382,35,-35,0
T,420,1591,-1616,-1390,-1351,3008,11072,41,-41,0
T,440,1874,-1904,-1450,1151,-1820,9873,46,-47,0
T,460,2172,-2207,-1544,-872,3434,9198,52,-54,0
T,480,2488,-2528,-1611,504,-1677,7636,59,-61,0
T,500,2815,-2860,-1670,335,2280,10236,66,-68,0
T,520,3150,-3201,-1700,-1879,3060,12200,73,-75,0
T,540,3491,-3547,-1731,-1453,1592,12809,81,-82,0
T,560,3839,-3901,-1780,-1201,5058,14084,89,-91,0
T,580,4193,-4260,-1794,-1872,3226,14576,96,-99,0
T,600,4553,-4626,-1826,-623,2888,13508,103,-107,0
T,620,4917,-4996,-1828,807,-2750,7929,111,-115,0
T,640,5286,-5371,-1863,871,-2879,6668,119,-125,0
T,660,5665,-5757,-1914,37,-498,10112,128,-133,0
